ISO3,Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
BOL,Bolivia,5.727,5.974,6.622,7.792,8.592,9.799,9.775,10.883,10.924,10.376,11.005,8.561,10.328,11.011,11.018,12.07,14.921,12.177,13.041,13.498,14.641,16.038,18.119,18.426,19.618,19.421,20.693,21.811,22.346,22.575
BES,Bonaire Sint Eustatius and Saba,0.244,0.195,0.16,0.248,0.237,0.235,0.22,0.23,0.013,0.095,0.252,0.257,0.248,0.248,0.26,0.258,0.269,0.302,0.291,0.298,0.205,0.262,0.311,0.322,0.322,0.326,0.33,0.333,0.343,0.334
BIH,Bosnia and Herzegovina,19.414,13.735,15.028,12.579,3.204,3.403,4.238,8.365,10.551,10.334,13.701,13.264,14.173,14.35,15.462,16.046,17.387,17.474,19.959,20.537,21.146,23.761,22.136,21.801,19.311,18.461,21.733,21.792,22.086,26.621
BWA,Botswana,2.7,2.634,2.777,3.195,3.03,3.045,2.755,2.799,3.342,3.158,3.778,3.847,3.975,3.825,3.895,4.093,4.133,4.228,4.503,3.856,4.536,4.029,5.077,5.663,6.85,5.425,6.333,7.059,6.815,6.316
BRA,Brazil,206.921,217.228,218.383,228.333,239.471,255.584,281.195,296.585,308.306,316.282,324.226,332.987,327.435,317.508,333.675,342.086,341.946,356.919,380.345,360.091,411.24,429.959,460.098,495.047,523.894,495.214,478.443,484.588,466.649,465.716
VGB,British Virgin Islands,0.066,0.073,0.084,0.088,0.099,0.11,0.117,0.117,0.121,0.121,0.125,0.128,0.136,0.147,0.161,0.18,0.183,0.187,0.191,0.191,0.198,0.202,0.202,0.202,0.213,0.213,0.213,0.169,0.174,0.169
BRN,Brunei,6.188,5.305,5.21,4.965,4.69,4.785,4.741,4.932,5.159,3.803,4.591,4.389,4.254,4.47,4.873,4.869,4.738,8.31,8.991,7.746,8.061,9.545,9.493,7.628,8.926,6.954,7.544,9.552,9.56,9.089
BGR,Bulgaria,76.699,61.233,57.01,57.676,56.084,57.716,58.108,55.861,53.275,46.37,45.305,49.014,46.259,50.51,49.571,50.656,51.895,55.741,54.08,45.774,47.863,53.178,48.349,42.65,45.169,48.194,45.354,47.505,43.552,42.006
BFA,Burkina Faso,0.583,0.627,0.63,0.627,0.645,0.624,0.704,0.803,0.858,0.914,1.031,0.992,1.001,1.074,1.1,1.122,1.356,1.591,1.735,1.83,2.037,2.13,2.62,2.864,2.912,3.298,3.381,3.938,4.14,4.301
BDI,Burundi,0.209,0.238,0.216,0.227,0.234,0.238,0.242,0.249,0.249,0.253,0.271,0.205,0.213,0.161,0.198,0.154,0.183,0.202,0.209,0.169,0.297,0.355,0.38,0.399,0.377,0.392,0.443,0.549,0.568,0.58
